"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","765","Invalid endpoint returns 404","","Sun Jan 11 19:52:35 UTC 2026","passed","Sun Jan 11 19:52:36 UTC 2026","","Book Management API","Invalid endpoint returns 404",""
"","6744","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:52:43 UTC 2026","passed","Sun Jan 11 19:52:50 UTC 2026","","Company Management API","Verify maximum quantity limit is capped at 1000",""
"","885","Get products with various quantities","","Sun Jan 11 19:53:36 UTC 2026","passed","Sun Jan 11 19:53:37 UTC 2026","","Product Management API","Get products with various quantities",""
"","998","Get persons with default quantity","","Sun Jan 11 19:53:11 UTC 2026","passed","Sun Jan 11 19:53:12 UTC 2026","","Person Management API","Get persons with default quantity",""
"","1007","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:52:59 UTC 2026","passed","Sun Jan 11 19:53:00 UTC 2026","","Credit Card Management API","Verify maximum quantity limit is capped at 1000",""
"","943","Get texts with various quantities","","Sun Jan 11 19:53:48 UTC 2026","passed","Sun Jan 11 19:53:48 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","845","Get credit cards with various quantities","","Sun Jan 11 19:52:52 UTC 2026","passed","Sun Jan 11 19:52:53 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","1518","Get persons by gender","","Sun Jan 11 19:53:12 UTC 2026","passed","Sun Jan 11 19:53:14 UTC 2026","","Person Management API","Get persons by gender",""
"","868","Verify user data structure","","Sun Jan 11 19:54:06 UTC 2026","passed","Sun Jan 11 19:54:07 UTC 2026","","User Management API","Verify user data structure",""
"","2233","Get credit cards with various quantities","","Sun Jan 11 19:52:53 UTC 2026","passed","Sun Jan 11 19:52:55 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","710","Invalid endpoint returns 404","","Sun Jan 11 19:53:34 UTC 2026","passed","Sun Jan 11 19:53:35 UTC 2026","","Place Management API","Invalid endpoint returns 404",""
"","746","Invalid endpoint returns 404","","Sun Jan 11 19:53:55 UTC 2026","passed","Sun Jan 11 19:53:56 UTC 2026","","Text Content Management API","Invalid endpoint returns 404",""
"","878","Get users with various quantities","","Sun Jan 11 19:53:58 UTC 2026","passed","Sun Jan 11 19:53:59 UTC 2026","","User Management API","Get users with various quantities",""
"","1119","Get texts with various quantities","","Sun Jan 11 19:53:48 UTC 2026","passed","Sun Jan 11 19:53:50 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1554","Get credit cards with various quantities","","Sun Jan 11 19:52:55 UTC 2026","passed","Sun Jan 11 19:52:57 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","1318","Verify all companies have required fields","","Sun Jan 11 19:52:42 UTC 2026","passed","Sun Jan 11 19:52:43 UTC 2026","","Company Management API","Verify all companies have required fields",""
"","1006","Verify API accepts any seed value","","Sun Jan 11 19:52:50 UTC 2026","passed","Sun Jan 11 19:52:51 UTC 2026","","Company Management API","Verify API accepts any seed value",""
"","896","Verify all persons have required fields","","Sun Jan 11 19:53:20 UTC 2026","passed","Sun Jan 11 19:53:21 UTC 2026","","Person Management API","Verify all persons have required fields",""
"","869","Get companies with default quantity","","Sun Jan 11 19:52:36 UTC 2026","passed","Sun Jan 11 19:52:37 UTC 2026","","Company Management API","Get companies with default quantity",""
"","888","Get users with various locales","","Sun Jan 11 19:54:04 UTC 2026","passed","Sun Jan 11 19:54:05 UTC 2026","","User Management API","Get users with various locales",""
"","978","Get texts with various quantities","","Sun Jan 11 19:53:50 UTC 2026","passed","Sun Jan 11 19:53:51 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1170","Get users with default quantity","","Sun Jan 11 19:53:56 UTC 2026","passed","Sun Jan 11 19:53:57 UTC 2026","","User Management API","Get users with default quantity",""
"","1564","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:52:18 UTC 2026","passed","Sun Jan 11 19:52:20 UTC 2026","","Address Management API","Verify maximum quantity limit is capped at 1000",""
"","1038","Invalid endpoint returns 404","","Sun Jan 11 19:53:10 UTC 2026","passed","Sun Jan 11 19:53:11 UTC 2026","","Image Management API","Invalid endpoint returns 404",""
"","1683","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:53:21 UTC 2026","passed","Sun Jan 11 19:53:23 UTC 2026","","Person Management API","Verify maximum quantity limit is capped at 1000",""
"","1215","Get companies with various quantities","","Sun Jan 11 19:52:37 UTC 2026","passed","Sun Jan 11 19:52:38 UTC 2026","","Company Management API","Get companies with various quantities",""
"","834","Get persons with birthday boundary","","Sun Jan 11 19:53:19 UTC 2026","passed","Sun Jan 11 19:53:19 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","948","Verify default quantity returned for invalid quantity","","Sun Jan 11 19:54:10 UTC 2026","passed","Sun Jan 11 19:54:11 UTC 2026","","User Management API","Verify default quantity returned for invalid quantity",""
"","871","Verify default quantity for non-numeric quantity","","Sun Jan 11 19:53:09 UTC 2026","passed","Sun Jan 11 19:53:10 UTC 2026","","Image Management API","Verify default quantity for non-numeric quantity",""
"","900","Invalid endpoint returns 404","","Sun Jan 11 19:52:20 UTC 2026","passed","Sun Jan 11 19:52:21 UTC 2026","","Address Management API","Invalid endpoint returns 404",""
"","1050","Verify person address data","","Sun Jan 11 19:53:17 UTC 2026","passed","Sun Jan 11 19:53:18 UTC 2026","","Person Management API","Verify person address data",""
"","927","Get products with price range and tax parameters","","Sun Jan 11 19:53:39 UTC 2026","passed","Sun Jan 11 19:53:40 UTC 2026","","Product Management API","Get products with price range and tax parameters",""
"","1540","Get companies with various quantities","","Sun Jan 11 19:52:39 UTC 2026","passed","Sun Jan 11 19:52:40 UTC 2026","","Company Management API","Get companies with various quantities",""
"","882","Verify all credit cards have required fields","","Sun Jan 11 19:52:58 UTC 2026","passed","Sun Jan 11 19:52:59 UTC 2026","","Credit Card Management API","Verify all credit cards have required fields",""
"","954","Get books with default quantity","","Sun Jan 11 19:52:21 UTC 2026","passed","Sun Jan 11 19:52:22 UTC 2026","","Book Management API","Get books with default quantity",""
"","880","Verify all images have required fields","","Sun Jan 11 19:53:07 UTC 2026","passed","Sun Jan 11 19:53:08 UTC 2026","","Image Management API","Verify all images have required fields",""
"","879","Get products with default quantity","","Sun Jan 11 19:53:35 UTC 2026","passed","Sun Jan 11 19:53:36 UTC 2026","","Product Management API","Get products with default quantity",""
"","5891","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:52:28 UTC 2026","passed","Sun Jan 11 19:52:34 UTC 2026","","Book Management API","Verify maximum quantity limit is capped at 1000",""
"","990","Get images with various quantities","","Sun Jan 11 19:53:04 UTC 2026","passed","Sun Jan 11 19:53:04 UTC 2026","","Image Management API","Get images with various quantities",""
"","917","Get addresses with various quantities","","Sun Jan 11 19:52:15 UTC 2026","passed","Sun Jan 11 19:52:16 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","981","Get users with various locales","","Sun Jan 11 19:54:03 UTC 2026","passed","Sun Jan 11 19:54:04 UTC 2026","","User Management API","Get users with various locales",""
"","1653","Verify place data structure and coordinates","","Sun Jan 11 19:53:29 UTC 2026","passed","Sun Jan 11 19:53:30 UTC 2026","","Place Management API","Verify place data structure and coordinates",""
"","712","Invalid endpoint returns 404","","Sun Jan 11 19:52:51 UTC 2026","passed","Sun Jan 11 19:52:51 UTC 2026","","Company Management API","Invalid endpoint returns 404",""
"","891","Verify address data structure","","Sun Jan 11 19:52:16 UTC 2026","passed","Sun Jan 11 19:52:17 UTC 2026","","Address Management API","Verify address data structure",""
