"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2750","Get persons with birthday boundary","","Sun Jan 11 20:10:02 UTC 2026","passed","Sun Jan 11 20:10:04 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","2332","Verify default quantity for non-numeric quantity","","Sun Jan 11 20:09:46 UTC 2026","passed","Sun Jan 11 20:09:48 UTC 2026","","Image Management API","Verify default quantity for non-numeric quantity",""
"","1103","Get images with various quantities","","Sun Jan 11 20:09:37 UTC 2026","passed","Sun Jan 11 20:09:38 UTC 2026","","Image Management API","Get images with various quantities",""
"","1169","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:11:19 UTC 2026","passed","Sun Jan 11 20:11:21 UTC 2026","","User Management API","Verify maximum quantity limit is capped at 1000",""
"","1069","Get users with various locales","","Sun Jan 11 20:11:13 UTC 2026","passed","Sun Jan 11 20:11:14 UTC 2026","","User Management API","Get users with various locales",""
"","1137","Get images with default quantity","","Sun Jan 11 20:09:35 UTC 2026","passed","Sun Jan 11 20:09:36 UTC 2026","","Image Management API","Get images with default quantity",""
"","807","Verify all places have valid coordinates","","Sun Jan 11 20:10:26 UTC 2026","passed","Sun Jan 11 20:10:27 UTC 2026","","Place Management API","Verify all places have valid coordinates",""
"","5287","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:10:59 UTC 2026","passed","Sun Jan 11 20:11:04 UTC 2026","","Text Content Management API","Verify maximum quantity limit is capped at 1000",""
"","2071","Get texts with various quantities","","Sun Jan 11 20:10:53 UTC 2026","passed","Sun Jan 11 20:10:55 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1981","Invalid endpoint returns 404","","Sun Jan 11 20:10:30 UTC 2026","passed","Sun Jan 11 20:10:32 UTC 2026","","Place Management API","Invalid endpoint returns 404",""
"","1596","Get users with default quantity","","Sun Jan 11 20:11:06 UTC 2026","passed","Sun Jan 11 20:11:08 UTC 2026","","User Management API","Get users with default quantity",""
"","955","Get users with various locales","","Sun Jan 11 20:11:12 UTC 2026","passed","Sun Jan 11 20:11:13 UTC 2026","","User Management API","Get users with various locales",""
"","1106","Verify credit card data structure","","Sun Jan 11 20:09:28 UTC 2026","passed","Sun Jan 11 20:09:29 UTC 2026","","Credit Card Management API","Verify credit card data structure",""
"","1315","Verify default quantity returned for zero quantity","","Sun Jan 11 20:08:36 UTC 2026","passed","Sun Jan 11 20:08:37 UTC 2026","","Address Management API","Verify default quantity returned for zero quantity",""
