"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1021","Get persons with default quantity","","Sun Jan 11 20:07:40 UTC 2026","passed","Sun Jan 11 20:07:41 UTC 2026","","Person Management API","Get persons with default quantity",""
"","1146","Verify default quantity for negative quantity","","Sun Jan 11 20:07:27 UTC 2026","passed","Sun Jan 11 20:07:28 UTC 2026","","Credit Card Management API","Verify default quantity for negative quantity",""
"","2098","Get users with various quantities","","Sun Jan 11 20:08:49 UTC 2026","passed","Sun Jan 11 20:08:51 UTC 2026","","User Management API","Get users with various quantities",""
"","1240","Get companies with various quantities","","Sun Jan 11 20:07:02 UTC 2026","passed","Sun Jan 11 20:07:04 UTC 2026","","Company Management API","Get companies with various quantities",""
"","1196","Get places with various quantities","","Sun Jan 11 20:08:00 UTC 2026","passed","Sun Jan 11 20:08:01 UTC 2026","","Place Management API","Get places with various quantities",""
"","1721","Get users with various locales","","Sun Jan 11 20:09:01 UTC 2026","passed","Sun Jan 11 20:09:03 UTC 2026","","User Management API","Get users with various locales",""
"","1037","Verify credit card data structure","","Sun Jan 11 20:07:22 UTC 2026","passed","Sun Jan 11 20:07:23 UTC 2026","","Credit Card Management API","Verify credit card data structure",""
"","1268","Get users with default quantity","","Sun Jan 11 20:08:47 UTC 2026","passed","Sun Jan 11 20:08:48 UTC 2026","","User Management API","Get users with default quantity",""
"","931","Invalid endpoint returns 404","","Sun Jan 11 20:07:01 UTC 2026","passed","Sun Jan 11 20:07:01 UTC 2026","","Book Management API","Invalid endpoint returns 404",""
"","1320","Verify place data structure and coordinates","","Sun Jan 11 20:08:02 UTC 2026","passed","Sun Jan 11 20:08:04 UTC 2026","","Place Management API","Verify place data structure and coordinates",""
"","1839","Get products with various quantities","","Sun Jan 11 20:08:11 UTC 2026","passed","Sun Jan 11 20:08:12 UTC 2026","","Product Management API","Get products with various quantities",""
"","1190","Get books with various quantities","","Sun Jan 11 20:06:50 UTC 2026","passed","Sun Jan 11 20:06:51 UTC 2026","","Book Management API","Get books with various quantities",""
"","1860","Verify user data structure","","Sun Jan 11 20:09:05 UTC 2026","passed","Sun Jan 11 20:09:07 UTC 2026","","User Management API","Verify user data structure",""
"","1322","Get places with various quantities","","Sun Jan 11 20:07:59 UTC 2026","passed","Sun Jan 11 20:08:00 UTC 2026","","Place Management API","Get places with various quantities",""
"","917","Get companies with various quantities","","Sun Jan 11 20:07:05 UTC 2026","passed","Sun Jan 11 20:07:06 UTC 2026","","Company Management API","Get companies with various quantities",""
"","1741","Get texts with default quantity","","Sun Jan 11 20:08:29 UTC 2026","passed","Sun Jan 11 20:08:31 UTC 2026","","Text Content Management API","Get texts with default quantity",""
"","3961","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:08:38 UTC 2026","passed","Sun Jan 11 20:08:42 UTC 2026","","Text Content Management API","Verify maximum quantity limit is capped at 1000",""
"","1361","Get persons by gender","","Sun Jan 11 20:07:41 UTC 2026","passed","Sun Jan 11 20:07:42 UTC 2026","","Person Management API","Get persons by gender",""
"","1237","Verify product data structure","","Sun Jan 11 20:08:18 UTC 2026","passed","Sun Jan 11 20:08:19 UTC 2026","","Product Management API","Verify product data structure",""
"","1653","Get credit cards with various quantities","","Sun Jan 11 20:07:18 UTC 2026","passed","Sun Jan 11 20:07:20 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","1636","Verify all places have valid coordinates","","Sun Jan 11 20:08:04 UTC 2026","passed","Sun Jan 11 20:08:05 UTC 2026","","Place Management API","Verify all places have valid coordinates",""
"","957","Get addresses with various quantities","","Sun Jan 11 20:06:41 UTC 2026","passed","Sun Jan 11 20:06:42 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1111","Get credit cards with various quantities","","Sun Jan 11 20:07:21 UTC 2026","passed","Sun Jan 11 20:07:22 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","931","Verify company data structure","","Sun Jan 11 20:07:06 UTC 2026","passed","Sun Jan 11 20:07:06 UTC 2026","","Company Management API","Verify company data structure",""
"","2738","Verify default quantity for string quantity","","Sun Jan 11 20:08:42 UTC 2026","passed","Sun Jan 11 20:08:45 UTC 2026","","Text Content Management API","Verify default quantity for string quantity",""
"","1702","Verify default quantity returned for invalid quantity","","Sun Jan 11 20:06:59 UTC 2026","passed","Sun Jan 11 20:07:01 UTC 2026","","Book Management API","Verify default quantity returned for invalid quantity",""
"","992","Get addresses with various quantities","","Sun Jan 11 20:06:38 UTC 2026","passed","Sun Jan 11 20:06:39 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1043","Get images with various quantities","","Sun Jan 11 20:07:33 UTC 2026","passed","Sun Jan 11 20:07:34 UTC 2026","","Image Management API","Get images with various quantities",""
"","3713","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:06:55 UTC 2026","passed","Sun Jan 11 20:06:59 UTC 2026","","Book Management API","Verify maximum quantity limit is capped at 1000",""
"","861","Verify image data structure and required fields","","Sun Jan 11 20:07:34 UTC 2026","passed","Sun Jan 11 20:07:35 UTC 2026","","Image Management API","Verify image data structure and required fields",""
"","1083","Verify address data structure","","Sun Jan 11 20:06:42 UTC 2026","passed","Sun Jan 11 20:06:43 UTC 2026","","Address Management API","Verify address data structure",""
"","911","Verify all images have required fields","","Sun Jan 11 20:07:35 UTC 2026","passed","Sun Jan 11 20:07:36 UTC 2026","","Image Management API","Verify all images have required fields",""
"","1889","Get users with various locales","","Sun Jan 11 20:08:59 UTC 2026","passed","Sun Jan 11 20:09:01 UTC 2026","","User Management API","Get users with various locales",""
"","1148","Get books with default quantity","","Sun Jan 11 20:06:48 UTC 2026","passed","Sun Jan 11 20:06:49 UTC 2026","","Book Management API","Get books with default quantity",""
"","945","Get companies with various quantities","","Sun Jan 11 20:07:04 UTC 2026","passed","Sun Jan 11 20:07:05 UTC 2026","","Company Management API","Get companies with various quantities",""
"","3116","Get users with various quantities","","Sun Jan 11 20:08:51 UTC 2026","passed","Sun Jan 11 20:08:54 UTC 2026","","User Management API","Get users with various quantities",""
"","978","Get companies with default quantity","","Sun Jan 11 20:07:01 UTC 2026","passed","Sun Jan 11 20:07:02 UTC 2026","","Company Management API","Get companies with default quantity",""
"","1177","Get images with various quantities","","Sun Jan 11 20:07:30 UTC 2026","passed","Sun Jan 11 20:07:32 UTC 2026","","Image Management API","Get images with various quantities",""
"","1829","Get persons with birthday boundary","","Sun Jan 11 20:07:49 UTC 2026","passed","Sun Jan 11 20:07:51 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","1768","Verify all companies have required fields","","Sun Jan 11 20:07:06 UTC 2026","passed","Sun Jan 11 20:07:08 UTC 2026","","Company Management API","Verify all companies have required fields",""
"","1375","Verify book data structure","","Sun Jan 11 20:06:53 UTC 2026","passed","Sun Jan 11 20:06:54 UTC 2026","","Book Management API","Verify book data structure",""
"","962","Verify API accepts any seed value","","Sun Jan 11 20:07:14 UTC 2026","passed","Sun Jan 11 20:07:15 UTC 2026","","Company Management API","Verify API accepts any seed value",""
"","1968","Invalid endpoint returns 404","","Sun Jan 11 20:09:15 UTC 2026","passed","Sun Jan 11 20:09:17 UTC 2026","","User Management API","Invalid endpoint returns 404",""
"","1873","Get products with various quantities","","Sun Jan 11 20:08:14 UTC 2026","passed","Sun Jan 11 20:08:16 UTC 2026","","Product Management API","Get products with various quantities",""
"","1344","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:07:36 UTC 2026","passed","Sun Jan 11 20:07:37 UTC 2026","","Image Management API","Verify maximum quantity limit is capped at 1000",""
"","949","Verify all books have required fields","","Sun Jan 11 20:06:54 UTC 2026","passed","Sun Jan 11 20:06:55 UTC 2026","","Book Management API","Verify all books have required fields",""
"","6035","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 20:07:08 UTC 2026","passed","Sun Jan 11 20:07:14 UTC 2026","","Company Management API","Verify maximum quantity limit is capped at 1000",""
"","826","Invalid endpoint returns 404","","Sun Jan 11 20:07:57 UTC 2026","passed","Sun Jan 11 20:07:58 UTC 2026","","Person Management API","Invalid endpoint returns 404",""
"","1074","Get places with default quantity","","Sun Jan 11 20:07:58 UTC 2026","passed","Sun Jan 11 20:07:59 UTC 2026","","Place Management API","Get places with default quantity",""
"","1174","Get persons with birthday boundary","","Sun Jan 11 20:07:48 UTC 2026","passed","Sun Jan 11 20:07:49 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","1529","Get books with various quantities","","Sun Jan 11 20:06:49 UTC 2026","passed","Sun Jan 11 20:06:50 UTC 2026","","Book Management API","Get books with various quantities",""
"","1151","Get products with default quantity","","Sun Jan 11 20:08:09 UTC 2026","passed","Sun Jan 11 20:08:11 UTC 2026","","Product Management API","Get products with default quantity",""
"","1236","Get credit cards with various quantities","","Sun Jan 11 20:07:20 UTC 2026","passed","Sun Jan 11 20:07:21 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","902","Verify person address data","","Sun Jan 11 20:07:46 UTC 2026","passed","Sun Jan 11 20:07:46 UTC 2026","","Person Management API","Verify person address data",""
"","1333","Get users with various quantities","","Sun Jan 11 20:08:48 UTC 2026","passed","Sun Jan 11 20:08:49 UTC 2026","","User Management API","Get users with various quantities",""
"","1300","Get images with various quantities","","Sun Jan 11 20:07:32 UTC 2026","passed","Sun Jan 11 20:07:33 UTC 2026","","Image Management API","Get images with various quantities",""
"","1782","Get products with price range and tax parameters","","Sun Jan 11 20:08:16 UTC 2026","passed","Sun Jan 11 20:08:18 UTC 2026","","Product Management API","Get products with price range and tax parameters",""
"","1388","Invalid endpoint returns 404","","Sun Jan 11 20:07:15 UTC 2026","passed","Sun Jan 11 20:07:17 UTC 2026","","Company Management API","Invalid endpoint returns 404",""
"","1231","Get images with default quantity","","Sun Jan 11 20:07:29 UTC 2026","passed","Sun Jan 11 20:07:30 UTC 2026","","Image Management API","Get images with default quantity",""
