"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2419","Get addresses with various quantities","","Sun Jan 11 19:56:29 UTC 2026","passed","Sun Jan 11 19:56:31 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1136","Get users with various locales","","Sun Jan 11 19:58:36 UTC 2026","passed","Sun Jan 11 19:58:37 UTC 2026","","User Management API","Get users with various locales",""
"","974","Invalid endpoint returns 404","","Sun Jan 11 19:57:05 UTC 2026","passed","Sun Jan 11 19:57:06 UTC 2026","","Company Management API","Invalid endpoint returns 404",""
"","1518","Verify default quantity for zero quantity","","Sun Jan 11 19:57:57 UTC 2026","passed","Sun Jan 11 19:57:59 UTC 2026","","Place Management API","Verify default quantity for zero quantity",""
"","1146","Verify default quantity for string quantity","","Sun Jan 11 19:58:26 UTC 2026","passed","Sun Jan 11 19:58:27 UTC 2026","","Text Content Management API","Verify default quantity for string quantity",""
"","1073","Verify all persons have required fields","","Sun Jan 11 19:57:43 UTC 2026","passed","Sun Jan 11 19:57:44 UTC 2026","","Person Management API","Verify all persons have required fields",""
"","1105","Verify all persons have valid data formats","","Sun Jan 11 19:57:40 UTC 2026","passed","Sun Jan 11 19:57:41 UTC 2026","","Person Management API","Verify all persons have valid data formats",""
"","1294","Verify all books have required fields","","Sun Jan 11 19:56:44 UTC 2026","passed","Sun Jan 11 19:56:45 UTC 2026","","Book Management API","Verify all books have required fields",""
"","1265","Verify all users have valid data formats","","Sun Jan 11 19:58:46 UTC 2026","passed","Sun Jan 11 19:58:47 UTC 2026","","User Management API","Verify all users have valid data formats",""
"","1303","Verify all credit cards have required fields","","Sun Jan 11 19:57:12 UTC 2026","passed","Sun Jan 11 19:57:13 UTC 2026","","Credit Card Management API","Verify all credit cards have required fields",""
"","999","Invalid endpoint returns 404","","Sun Jan 11 19:57:48 UTC 2026","passed","Sun Jan 11 19:57:49 UTC 2026","","Person Management API","Invalid endpoint returns 404",""
"","1140","Get places with default quantity","","Sun Jan 11 19:57:49 UTC 2026","passed","Sun Jan 11 19:57:50 UTC 2026","","Place Management API","Get places with default quantity",""
"","1335","Get places with various quantities","","Sun Jan 11 19:57:52 UTC 2026","passed","Sun Jan 11 19:57:54 UTC 2026","","Place Management API","Get places with various quantities",""
"","1276","Get credit cards with various quantities","","Sun Jan 11 19:57:07 UTC 2026","passed","Sun Jan 11 19:57:09 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","2320","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:57:44 UTC 2026","passed","Sun Jan 11 19:57:47 UTC 2026","","Person Management API","Verify maximum quantity limit is capped at 1000",""
"","1180","Invalid endpoint returns 404","","Sun Jan 11 19:57:16 UTC 2026","passed","Sun Jan 11 19:57:17 UTC 2026","","Credit Card Management API","Invalid endpoint returns 404",""
"","3336","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:58:22 UTC 2026","passed","Sun Jan 11 19:58:26 UTC 2026","","Text Content Management API","Verify maximum quantity limit is capped at 1000",""
"","1572","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:57:26 UTC 2026","passed","Sun Jan 11 19:57:27 UTC 2026","","Image Management API","Verify maximum quantity limit is capped at 1000",""
"","1237","Verify API accepts any seed value","","Sun Jan 11 19:57:04 UTC 2026","passed","Sun Jan 11 19:57:05 UTC 2026","","Company Management API","Verify API accepts any seed value",""
"","1677","Get persons by gender","","Sun Jan 11 19:57:33 UTC 2026","passed","Sun Jan 11 19:57:35 UTC 2026","","Person Management API","Get persons by gender",""
"","1134","Verify product data structure","","Sun Jan 11 19:58:08 UTC 2026","passed","Sun Jan 11 19:58:09 UTC 2026","","Product Management API","Verify product data structure",""
"","1098","Verify default quantity returned for zero quantity","","Sun Jan 11 19:56:35 UTC 2026","passed","Sun Jan 11 19:56:36 UTC 2026","","Address Management API","Verify default quantity returned for zero quantity",""
"","1891","Get users with default quantity","","Sun Jan 11 19:58:28 UTC 2026","passed","Sun Jan 11 19:58:30 UTC 2026","","User Management API","Get users with default quantity",""
"","1554","Get persons by gender","","Sun Jan 11 19:57:35 UTC 2026","passed","Sun Jan 11 19:57:36 UTC 2026","","Person Management API","Get persons by gender",""
"","1100","Get products with various quantities","","Sun Jan 11 19:58:05 UTC 2026","passed","Sun Jan 11 19:58:07 UTC 2026","","Product Management API","Get products with various quantities",""
"","959","Invalid endpoint returns 404","","Sun Jan 11 19:57:28 UTC 2026","passed","Sun Jan 11 19:57:29 UTC 2026","","Image Management API","Invalid endpoint returns 404",""
"","2121","Get companies with various quantities","","Sun Jan 11 19:56:53 UTC 2026","passed","Sun Jan 11 19:56:55 UTC 2026","","Company Management API","Get companies with various quantities",""
"","1337","Get books with various quantities","","Sun Jan 11 19:56:40 UTC 2026","passed","Sun Jan 11 19:56:41 UTC 2026","","Book Management API","Get books with various quantities",""
"","1115","Verify all places have valid coordinates","","Sun Jan 11 19:57:55 UTC 2026","passed","Sun Jan 11 19:57:56 UTC 2026","","Place Management API","Verify all places have valid coordinates",""
"","1676","Get users with various locales","","Sun Jan 11 19:58:39 UTC 2026","passed","Sun Jan 11 19:58:41 UTC 2026","","User Management API","Get users with various locales",""
"","2052","Get products with default quantity","","Sun Jan 11 19:58:01 UTC 2026","passed","Sun Jan 11 19:58:03 UTC 2026","","Product Management API","Get products with default quantity",""
"","2124","Invalid endpoint returns 404","","Sun Jan 11 19:57:59 UTC 2026","passed","Sun Jan 11 19:58:01 UTC 2026","","Place Management API","Invalid endpoint returns 404",""
"","5518","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:56:58 UTC 2026","passed","Sun Jan 11 19:57:04 UTC 2026","","Company Management API","Verify maximum quantity limit is capped at 1000",""
"","1228","Get places with various quantities","","Sun Jan 11 19:57:51 UTC 2026","passed","Sun Jan 11 19:57:52 UTC 2026","","Place Management API","Get places with various quantities",""
"","1154","Get texts with various quantities","","Sun Jan 11 19:58:17 UTC 2026","passed","Sun Jan 11 19:58:19 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1650","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:56:34 UTC 2026","passed","Sun Jan 11 19:56:35 UTC 2026","","Address Management API","Verify maximum quantity limit is capped at 1000",""
"","2548","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:56:45 UTC 2026","passed","Sun Jan 11 19:56:48 UTC 2026","","Book Management API","Verify maximum quantity limit is capped at 1000",""
"","1152","Get texts with default quantity","","Sun Jan 11 19:58:16 UTC 2026","passed","Sun Jan 11 19:58:17 UTC 2026","","Text Content Management API","Get texts with default quantity",""
"","1760","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:58:47 UTC 2026","passed","Sun Jan 11 19:58:49 UTC 2026","","User Management API","Verify maximum quantity limit is capped at 1000",""
"","1123","Verify API accepts any gender value","","Sun Jan 11 19:57:47 UTC 2026","passed","Sun Jan 11 19:57:48 UTC 2026","","Person Management API","Verify API accepts any gender value",""
"","1291","Get images with various quantities","","Sun Jan 11 19:57:20 UTC 2026","passed","Sun Jan 11 19:57:22 UTC 2026","","Image Management API","Get images with various quantities",""
"","3283","Get addresses with default quantity","","Sun Jan 11 19:56:23 UTC 2026","passed","Sun Jan 11 19:56:26 UTC 2026","","Address Management API","Get addresses with default quantity",""
"","1156","Get products with various quantities","","Sun Jan 11 19:58:03 UTC 2026","passed","Sun Jan 11 19:58:04 UTC 2026","","Product Management API","Get products with various quantities",""
"","2008","Get users with various locales","","Sun Jan 11 19:58:37 UTC 2026","passed","Sun Jan 11 19:58:39 UTC 2026","","User Management API","Get users with various locales",""
"","4282","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:58:10 UTC 2026","passed","Sun Jan 11 19:58:14 UTC 2026","","Product Management API","Verify maximum quantity limit is capped at 1000",""
"","1504","Get texts with various quantities","","Sun Jan 11 19:58:20 UTC 2026","passed","Sun Jan 11 19:58:21 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","2085","Verify default quantity returned for invalid quantity","","Sun Jan 11 19:58:49 UTC 2026","passed","Sun Jan 11 19:58:51 UTC 2026","","User Management API","Verify default quantity returned for invalid quantity",""
"","1138","Verify default quantity for non-numeric quantity","","Sun Jan 11 19:57:27 UTC 2026","passed","Sun Jan 11 19:57:28 UTC 2026","","Image Management API","Verify default quantity for non-numeric quantity",""
"","1087","Get users with various quantities","","Sun Jan 11 19:58:32 UTC 2026","passed","Sun Jan 11 19:58:33 UTC 2026","","User Management API","Get users with various quantities",""
"","1169","Get companies with default quantity","","Sun Jan 11 19:56:50 UTC 2026","passed","Sun Jan 11 19:56:51 UTC 2026","","Company Management API","Get companies with default quantity",""
"","1342","Get companies with various quantities","","Sun Jan 11 19:56:51 UTC 2026","passed","Sun Jan 11 19:56:52 UTC 2026","","Company Management API","Get companies with various quantities",""
"","1066","Get persons with birthday boundary","","Sun Jan 11 19:57:41 UTC 2026","passed","Sun Jan 11 19:57:42 UTC 2026","","Person Management API","Get persons with birthday boundary",""
"","1122","Get books with various quantities","","Sun Jan 11 19:56:41 UTC 2026","passed","Sun Jan 11 19:56:43 UTC 2026","","Book Management API","Get books with various quantities",""
"","1131","Get texts with various quantities","","Sun Jan 11 19:58:19 UTC 2026","passed","Sun Jan 11 19:58:20 UTC 2026","","Text Content Management API","Get texts with various quantities",""
"","1516","Get addresses with various quantities","","Sun Jan 11 19:56:27 UTC 2026","passed","Sun Jan 11 19:56:29 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1125","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:57:56 UTC 2026","passed","Sun Jan 11 19:57:57 UTC 2026","","Place Management API","Verify maximum quantity limit is capped at 1000",""
"","1180","Verify book data structure","","Sun Jan 11 19:56:43 UTC 2026","passed","Sun Jan 11 19:56:44 UTC 2026","","Book Management API","Verify book data structure",""
"","1289","Get persons with birthday range","","Sun Jan 11 19:57:36 UTC 2026","passed","Sun Jan 11 19:57:38 UTC 2026","","Person Management API","Get persons with birthday range",""
"","1791","Verify all images have required fields","","Sun Jan 11 19:57:24 UTC 2026","passed","Sun Jan 11 19:57:26 UTC 2026","","Image Management API","Verify all images have required fields",""
"","1224","Invalid endpoint returns 404","","Sun Jan 11 19:58:51 UTC 2026","passed","Sun Jan 11 19:58:52 UTC 2026","","User Management API","Invalid endpoint returns 404",""
"","1492","Get users with seed parameter for consistency","","Sun Jan 11 19:58:43 UTC 2026","passed","Sun Jan 11 19:58:45 UTC 2026","","User Management API","Get users with seed parameter for consistency",""
"","1866","Get users with various quantities","","Sun Jan 11 19:58:33 UTC 2026","passed","Sun Jan 11 19:58:35 UTC 2026","","User Management API","Get users with various quantities",""
"","1242","Verify address data structure","","Sun Jan 11 19:56:31 UTC 2026","passed","Sun Jan 11 19:56:32 UTC 2026","","Address Management API","Verify address data structure",""
"","1119","Verify default quantity for negative quantity","","Sun Jan 11 19:57:15 UTC 2026","passed","Sun Jan 11 19:57:16 UTC 2026","","Credit Card Management API","Verify default quantity for negative quantity",""
"","1362","Get books with various quantities","","Sun Jan 11 19:56:39 UTC 2026","passed","Sun Jan 11 19:56:40 UTC 2026","","Book Management API","Get books with various quantities",""
"","1757","Get images with various quantities","","Sun Jan 11 19:57:19 UTC 2026","passed","Sun Jan 11 19:57:20 UTC 2026","","Image Management API","Get images with various quantities",""
"","1237","Verify credit card data structure","","Sun Jan 11 19:57:11 UTC 2026","passed","Sun Jan 11 19:57:12 UTC 2026","","Credit Card Management API","Verify credit card data structure",""
"","1139","Verify all products have required fields","","Sun Jan 11 19:58:09 UTC 2026","passed","Sun Jan 11 19:58:10 UTC 2026","","Product Management API","Verify all products have required fields",""
"","1347","Get books with default quantity","","Sun Jan 11 19:56:37 UTC 2026","passed","Sun Jan 11 19:56:39 UTC 2026","","Book Management API","Get books with default quantity",""
"","1118","Get users with various locales","","Sun Jan 11 19:58:35 UTC 2026","passed","Sun Jan 11 19:58:36 UTC 2026","","User Management API","Get users with various locales",""
"","954","Invalid endpoint returns 404","","Sun Jan 11 19:58:15 UTC 2026","passed","Sun Jan 11 19:58:16 UTC 2026","","Product Management API","Invalid endpoint returns 404",""
"","1145","Verify user data structure","","Sun Jan 11 19:58:45 UTC 2026","passed","Sun Jan 11 19:58:46 UTC 2026","","User Management API","Verify user data structure",""
"","1065","Verify person address data","","Sun Jan 11 19:57:39 UTC 2026","passed","Sun Jan 11 19:57:40 UTC 2026","","Person Management API","Verify person address data",""
"","1089","Verify default quantity returned for invalid quantity","","Sun Jan 11 19:58:14 UTC 2026","passed","Sun Jan 11 19:58:15 UTC 2026","","Product Management API","Verify default quantity returned for invalid quantity",""
"","1186","Get credit cards with various quantities","","Sun Jan 11 19:57:10 UTC 2026","passed","Sun Jan 11 19:57:11 UTC 2026","","Credit Card Management API","Get credit cards with various quantities",""
"","1220","Verify image data structure and required fields","","Sun Jan 11 19:57:23 UTC 2026","passed","Sun Jan 11 19:57:24 UTC 2026","","Image Management API","Verify image data structure and required fields",""
"","1127","Invalid endpoint returns 404","","Sun Jan 11 19:58:27 UTC 2026","passed","Sun Jan 11 19:58:28 UTC 2026","","Text Content Management API","Invalid endpoint returns 404",""
"","3806","Get persons with default quantity","","Sun Jan 11 19:57:29 UTC 2026","passed","Sun Jan 11 19:57:33 UTC 2026","","Person Management API","Get persons with default quantity",""
"","2076","Get users with various locales","","Sun Jan 11 19:58:41 UTC 2026","passed","Sun Jan 11 19:58:43 UTC 2026","","User Management API","Get users with various locales",""
"","1222","Get credit cards with default quantity","","Sun Jan 11 19:57:06 UTC 2026","passed","Sun Jan 11 19:57:07 UTC 2026","","Credit Card Management API","Get credit cards with default quantity",""
"","1548","Verify maximum quantity limit is capped at 1000","","Sun Jan 11 19:57:14 UTC 2026","passed","Sun Jan 11 19:57:15 UTC 2026","","Credit Card Management API","Verify maximum quantity limit is capped at 1000",""
"","1775","Verify company data structure","","Sun Jan 11 19:56:55 UTC 2026","passed","Sun Jan 11 19:56:57 UTC 2026","","Company Management API","Verify company data structure",""
"","1165","Verify all companies have required fields","","Sun Jan 11 19:56:57 UTC 2026","passed","Sun Jan 11 19:56:58 UTC 2026","","Company Management API","Verify all companies have required fields",""
"","2140","Get users with various quantities","","Sun Jan 11 19:58:30 UTC 2026","passed","Sun Jan 11 19:58:32 UTC 2026","","User Management API","Get users with various quantities",""
"","1134","Verify all addresses have required fields and coordinates","","Sun Jan 11 19:56:32 UTC 2026","passed","Sun Jan 11 19:56:34 UTC 2026","","Address Management API","Verify all addresses have required fields and coordinates",""
"","1156","Verify text data structure and required fields","","Sun Jan 11 19:58:21 UTC 2026","passed","Sun Jan 11 19:58:22 UTC 2026","","Text Content Management API","Verify text data structure and required fields",""
"","943","Invalid endpoint returns 404","","Sun Jan 11 19:56:49 UTC 2026","passed","Sun Jan 11 19:56:50 UTC 2026","","Book Management API","Invalid endpoint returns 404",""
"","1132","Get addresses with various quantities","","Sun Jan 11 19:56:26 UTC 2026","passed","Sun Jan 11 19:56:27 UTC 2026","","Address Management API","Get addresses with various quantities",""
"","1303","Get persons with birthday boundary","","Sun Jan 11 19:57:42 UTC 2026","passed","Sun Jan 11 19:57:43 UTC 2026","","Person Management API","Get persons with birthday boundary",""
