"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1833","Verify person data structure","","Sun Jan 11 21:12:11 UTC 2026","passed","Sun Jan 11 21:12:13 UTC 2026","","Person Management API","Verify person data structure",""
"","1118","Verify default quantity returned for invalid quantity","","Sun Jan 11 21:13:21 UTC 2026","passed","Sun Jan 11 21:13:22 UTC 2026","","User Management API","Verify default quantity returned for invalid quantity",""
"","999","Get users with various locales","","Sun Jan 11 21:13:10 UTC 2026","passed","Sun Jan 11 21:13:11 UTC 2026","","User Management API","Get users with various locales",""
"","1168","Get persons with birthday range","","Sun Jan 11 21:12:10 UTC 2026","passed","Sun Jan 11 21:12:11 UTC 2026","","Person Management API","Get persons with birthday range",""
"","1459","Get users with various quantities","","Sun Jan 11 21:13:04 UTC 2026","passed","Sun Jan 11 21:13:05 UTC 2026","","User Management API","Get users with various quantities",""
"","1172","Invalid endpoint returns 404","","Sun Jan 11 21:11:22 UTC 2026","passed","Sun Jan 11 21:11:24 UTC 2026","","Book Management API","Invalid endpoint returns 404",""
"","1046","Get users with default quantity","","Sun Jan 11 21:13:03 UTC 2026","passed","Sun Jan 11 21:13:04 UTC 2026","","User Management API","Get users with default quantity",""
"","877","Invalid endpoint returns 404","","Sun Jan 11 21:13:02 UTC 2026","passed","Sun Jan 11 21:13:03 UTC 2026","","Text Content Management API","Invalid endpoint returns 404",""
"","1142","Verify all places have valid coordinates","","Sun Jan 11 21:12:32 UTC 2026","passed","Sun Jan 11 21:12:33 UTC 2026","","Place Management API","Verify all places have valid coordinates",""
"","1191","Get products with price range and tax parameters","","Sun Jan 11 21:12:41 UTC 2026","passed","Sun Jan 11 21:12:42 UTC 2026","","Product Management API","Get products with price range and tax parameters",""
"","1162","Get places with various quantities","","Sun Jan 11 21:12:28 UTC 2026","passed","Sun Jan 11 21:12:29 UTC 2026","","Place Management API","Get places with various quantities",""
